"year","doy","hour","zenith_angle","cosine_zenith_angle","direct_transmittance","diffuse_transmittance","total_transmittance","solar","solar_source","temp","doy_dbl"
"2008",27,12,62.6543270102026,0.459357764628278,0.390524301081962,0.0839902183950743,0.263380588373105,1041.27754986189,1,3.54926775337728,27.5
"2008",27,13,59.1487655305462,0.512810750736631,0.430737569650392,0.0875771682821225,0.308464024745011,1219.51532529807,1,6.86629175236531,27.5416666666667
"2008",27,14,58.834414689211,0.5175131417241,0.434046725952374,0.0878664770764282,0.312491361879101,1235.43743926006,1,9.14982209057341,27.5833333333333
"2008",27,15,61.7614921734451,0.473142971891015,0.40137060092508,0.0849711878818919,0.274876866833267,1086.72819123782,1,10.0490526431671,27.625
"2008",27,16,67.4951508261404,0.382761622660842,0.323542196561887,0.0776766259516683,0.201516162106949,796.695978365134,1,9.95497352778766,27.6666666666667
"2008",27,17,75.3593826226166,0.252755310621833,0.181075947388635,0.0620962209880428,0.1078641283164,426.441811619701,1,9.61552481103426,27.7083333333333
"2008",27,18,84.6701229614783,0.0928897981899584,0.00956360894323364,0.0276004309455761,0.0284887926502808,112.630700662665,1,9.04918631027675,27.75
"2008",27,19,95.2472066264555,-0.0914530695138245,0,1,0,0,1,8.27765954148088,27.7916666666667
"2008",27,20,106.301267710789,-0.280687945242173,0,1,0,0,1,7.33050862657839,27.8333333333333
"2008",27,21,117.689796139317,-0.464684357748385,0,1,0,0,1,6.24402742635086,27.875
"2008",27,22,129.116363881403,-0.630897423360871,0,1,0,0,1,5.05984879655803,27.9166666666667
"2008",27,23,140.173939905405,-0.767992300188764,0,1,0,0,1,3.82334925920291,27.9583333333333
"2008",28,0,150.067818997552,-0.866616629369855,0,1,0,0,1,2.58191022030974,28
"2008",28,1,156.93163816194,-0.920038001747291,0,1,0,0,1,1.38310236258335,28.0416666666667
"2008",28,2,157.608566634027,-0.924602999384775,0,1,0,0,1,0.272862785178252,28.0833333333333
"2008",28,3,151.640736472452,-0.879986512456105,0,1,0,0,1,-0.706265259270147,28.125
