 Bondville
   40.05  -88.37  213 m version 1
 1995  82  3 23  0  0  0.000  88.74     1.6 0     0.7 0    -1.0 0 -9999.9 1   342.0 0   288.1 0   287.5 0   364.1 0   284.9 0   285.0 0     0.3 0     2.7 0     0.9 0   -22.1 0   -21.2 0 -9999.9 1 -9999.9 1 -9999.9 1 -9999.9 1 -9999.9 1
 1995  82  3 23  0  3  0.050  89.23     1.3 0     0.6 0    -0.8 0 -9999.9 1   343.3 0   288.1 0   287.4 0   364.2 0   284.8 0   284.9 0     0.2 0     2.3 0     0.6 0   -20.9 0   -20.2 0 -9999.9 1 -9999.9 1 -9999.9 1 -9999.9 1 -9999.9 1
