"year","doy","hour","zen","direct_n","diffuse","par","temp","rh","windspeed","pressure","zen_clean","direct_n_clean","diffuse_clean","par_clean","temp_clean","rh_clean","windspeed_clean","pressure_clean"
1996,2,12,66.4865,0.28,NA,72.29,-2.52,99.055,13.54,983.295,66.4865,0.28,NA,72.29,-2.52,99.055,13.54,983.295
1996,2,13,63.4745,0.195,NA,65.695,-2.815,99.285,13.535,981.855,63.4745,0.195,NA,65.695,-2.815,99.285,13.535,981.855
1996,2,14,63.452,0.265,NA,54.71,-2.81,95.39,13.755,980.76,63.452,0.265,NA,54.71,-2.81,95.39,13.755,980.76
1996,2,15,66.4225,-0.41,NA,41.97,-3.345,95.07,13.585,980.41,66.4225,-0.41,NA,41.97,-3.345,95.07,13.585,980.41
1996,2,16,72.007,-0.125,NA,27.505,-4.045,98.5647058823529,12.405,980.55,72.007,-0.125,NA,27.505,-4.045,98.5647058823529,12.405,980.55
1996,2,17,79.622,-0.255,NA,15.18,-4.615,NA,12.475,980.27,79.622,-0.255,NA,15.18,-4.615,82.63125,12.475,980.27
1996,2,18,88.6465,-0.4,NA,3.02,-5.165,NA,13.91,979.495,88.6465,-0.4,NA,3.02,-5.165,86.68375,13.91,979.495
1996,2,19,99.0635,-0.06,NA,-0.535,-5.565,99.7454545454546,12.66,980.03,99.0635,-0.06,NA,-0.535,-5.565,99.7454545454546,12.66,980.03
1996,2,20,109.956,-0.13,NA,-0.515,-5.69,99.92,11.685,980.32,109.956,-0.13,NA,-0.515,-5.69,99.92,11.685,980.32
1996,2,21,121.259,-0.115,NA,-0.515,-5.93,99.675,12.015,980.77,121.259,-0.115,NA,-0.515,-5.93,99.675,12.015,980.77
1996,2,22,132.707,-0.105,NA,-0.525,-6.005,99.53,12.285,981.145,132.707,-0.105,NA,-0.525,-6.005,99.53,12.285,981.145
1996,2,23,143.94,-0.08,NA,-0.515,-6.01,99.295,11.68,981.38,143.94,-0.08,NA,-0.515,-6.01,99.295,11.68,981.38
1996,3,0,154.196,0.025,NA,-0.49,-5.845,95.76,10.16,981.319999999999,154.196,0.025,NA,-0.49,-5.845,95.76,10.16,981.319999999999
1996,3,1,161.3435,-0.18,NA,-0.5,-5.825,91.86,10.075,981.33,161.3435,-0.18,NA,-0.5,-5.825,91.86,10.075,981.33
1996,3,2,161.4235,-0.275,NA,-0.52,-6.1,89.21,10.09,981.665,161.4235,-0.275,NA,-0.52,-6.1,89.21,10.09,981.665
1996,3,3,154.371,-0.47,NA,-0.505,-6.635,87.225,8.825,982.185,154.371,-0.47,NA,-0.505,-6.635,87.225,8.825,982.185
1996,3,4,144.147,-0.81,NA,-0.45,-8.265,87.755,7.205,982.815,144.147,-0.81,NA,-0.45,-8.265,87.755,7.205,982.815
1996,3,5,132.9205,-0.5,NA,-0.375,-9.64,91.12,5.34,983.345,132.9205,-0.5,NA,-0.375,-9.64,91.12,5.34,983.345
1996,3,6,121.467,-0.195,NA,-0.38,-10.525,91.705,4.935,983.765,121.467,-0.195,NA,-0.38,-10.525,91.705,4.935,983.765
1996,3,7,110.151,0.195,NA,-0.35,-11.14,92.495,5.8,984.645,110.151,0.195,NA,-0.35,-11.14,92.495,5.8,984.645
1996,3,8,99.242,-0.165,NA,-0.29,-11.555,92.39,5.29,984.995,99.242,-0.165,NA,-0.29,-11.555,92.39,5.29,984.995
1996,3,9,88.7875,169.11,NA,9.9,-12.185,92.33,5.04,985,88.7875,169.11,NA,9.9,-12.185,92.33,5.04,985
1996,3,10,79.7375,663.77,NA,68.6,-11.6,91.99,4.475,985.485,79.7375,663.77,NA,68.6,-11.6,91.99,4.475,985.485
1996,3,11,72.077,848.685,NA,129.715,-10.025,91.54,3.595,986.07,72.077,848.685,NA,129.715,-10.025,91.54,3.595,986.07
1996,3,12,66.4345,926.73,NA,177.84,-8.435,90.68,4.18,985.91,66.4345,926.73,NA,177.84,-8.435,90.68,4.18,985.91
1996,3,13,63.395,919.68,NA,205.38,-7.1,89.865,3.8,985.61,63.395,919.68,NA,205.38,-7.1,89.865,3.8,985.61
1996,3,14,63.3495,850.575,NA,198.85,-5.875,87.195,2.675,985.505,63.3495,850.575,NA,198.85,-5.875,87.195,2.675,985.505
1996,3,15,66.3015,625.04,NA,164.955,-4.57,81.49,1.48,985.125,66.3015,625.04,NA,164.955,-4.57,81.49,1.48,985.125
1996,3,16,71.874,234.91,NA,105.04,-4.585,78.785,1.565,984.895,71.874,234.91,NA,105.04,-4.585,78.785,1.565,984.895
1996,3,17,79.483,499.665,NA,65.45,-5.6,80.72,3.065,985.27,79.483,499.665,NA,65.45,-5.6,80.72,3.065,985.27
1996,3,18,88.513,166.205,NA,9.57,-7.295,85.2,4.145,985.63,88.513,166.205,NA,9.57,-7.295,85.2,4.145,985.63
1996,3,19,98.9205,-0.885,NA,-0.485,-9.765,90.57,4.08,985.895,98.9205,-0.885,NA,-0.485,-9.765,90.57,4.08,985.895
1996,3,20,109.813,-0.72,NA,-0.5,-11.185,93.02,3.375,986.415,109.813,-0.72,NA,-0.5,-11.185,93.02,3.375,986.415
1996,3,21,121.117,-0.57,NA,-0.49,-12.445,94.6,3.59,986.705,121.117,-0.57,NA,-0.49,-12.445,94.6,3.59,986.705
1996,3,22,132.5665,-0.515,NA,-0.465,-12.99,95.955,3.255,987.115,132.5665,-0.515,NA,-0.465,-12.99,95.955,3.255,987.115
1996,3,23,143.798,-0.34,NA,-0.43,-13.675,96.37,2.435,986.975,143.798,-0.34,NA,-0.43,-13.675,96.37,2.435,986.975
1996,4,0,154.053,0.23,NA,-0.405,-13.69,96.35,2.475,986.915,154.053,0.23,NA,-0.405,-13.69,96.35,2.475,986.915
1996,4,1,161.221,0.135,NA,-0.385,-13.875,95.44,1.715,987.1,161.221,0.135,NA,-0.385,-13.875,95.44,1.715,987.1
1996,4,2,161.363,-0.24,NA,-0.395,-13.58,95.14,1.325,986.935,161.363,-0.24,NA,-0.395,-13.58,95.14,1.325,986.935
1996,4,3,154.369,0.715,NA,-0.4,-13.89,94.665,1.22,987.05,154.369,0.715,NA,-0.4,-13.89,94.665,1.22,987.05
1996,4,4,144.1705,0.345,NA,-0.4,-13.21,95.235,1.455,987.76,144.1705,0.345,NA,-0.4,-13.21,95.235,1.455,987.76
1996,4,5,132.9535,0.595,NA,-0.405,-12.595,95.695,2.36,988.01,132.9535,0.595,NA,-0.405,-12.595,95.695,2.36,988.01
1996,4,6,121.4995,0.51,NA,-0.4,-11.23,97.02,3.075,988.205,121.4995,0.51,NA,-0.4,-11.23,97.02,3.075,988.205
1996,4,7,110.178,0.36,NA,-0.4,-10.29,97.92,3.75,988.585,110.178,0.36,NA,-0.4,-10.29,97.92,3.75,988.585
1996,4,8,99.26,0.075,NA,-0.425,-9.755,98.33,3.975,988.67,99.26,0.075,NA,-0.425,-9.755,98.33,3.975,988.67
1996,4,9,88.7925,0.285,NA,4.345,-9.39,98.675,4.48,988.645,88.7925,0.285,NA,4.345,-9.39,98.675,4.48,988.645
1996,4,10,79.726,-0.04,NA,34.175,-8.86,99.205,4.735,989.03,79.726,-0.04,NA,34.175,-8.86,99.205,4.735,989.03
1996,4,11,72.0435,-0.435,NA,76.73,-8.35,99.335,5.5,989.65,72.0435,-0.435,NA,76.73,-8.35,99.335,5.5,989.65
1996,4,12,66.3735,-1.465,NA,114.715,-7.785,99.255,5.925,989.87,66.3735,-1.465,NA,114.715,-7.785,99.255,5.925,989.87
1996,4,13,63.308,-2.065,NA,123.955,-7.69,98.935,5.815,989.5,63.308,-2.065,NA,123.955,-7.69,98.935,5.815,989.5
1996,4,14,63.238,-1.335,NA,110.39,-7.225,99.055,5.925,989,63.238,-1.335,NA,110.39,-7.225,99.055,5.925,989
1996,4,15,66.1735,0.31,NA,99.315,-6.965,99.38,5.995,988.845,66.1735,0.31,NA,99.315,-6.965,99.38,5.995,988.845
1996,4,16,71.7355,0.385,NA,69.985,-6.65,99.9714285714286,4.885,989.625,71.7355,0.385,NA,69.985,-6.65,99.9714285714286,4.885,989.625
1996,4,17,79.3395,-0.225,NA,40.225,-6.36,NA,5.055,990.66,79.3395,-0.225,NA,40.225,-6.36,87.4,5.055,990.66
1996,4,18,88.3375,-0.21,NA,7.61,-6.58,99.7714285714286,6.155,991.935,88.3375,-0.21,NA,7.61,-6.58,99.7714285714286,6.155,991.935
1996,4,19,98.775,-1.38777878078145e-18,NA,-0.6,-6.88,98.745,6.08,993.225,98.775,-1.38777878078145e-18,NA,-0.6,-6.88,98.745,6.08,993.225
1996,4,20,109.668,-0.02,NA,-0.62,-6.96,97.845,5.98,994.18,109.668,-0.02,NA,-0.62,-6.96,97.845,5.98,994.18
1996,4,21,120.973,-0.21,NA,-0.655,-7.085,96.9,5.44,995.025,120.973,-0.21,NA,-0.655,-7.085,96.9,5.44,995.025
1996,4,22,132.4225,-0.085,NA,-0.665,-7.4,96.575,6.06,995.82,132.4225,-0.085,NA,-0.665,-7.4,96.575,6.06,995.82
1996,4,23,143.6505,-0.09,NA,-0.675,-7.41,95.51,4.545,996.435,143.6505,-0.09,NA,-0.675,-7.41,95.51,4.545,996.435
1996,5,0,153.907,-1.725,NA,-0.695,-8.87,94.93,5.25,997.495,153.907,-1.725,NA,-0.695,-8.87,94.93,5.25,997.495
1996,5,1,161.091,-0.445,NA,-0.65,-11.395,97.31,5.415,997.36,161.091,-0.445,NA,-0.65,-11.395,97.31,5.415,997.36
1996,5,2,161.2955,-0.975,NA,-0.605,-11.86,97.84,3.84,998.18,161.2955,-0.975,NA,-0.605,-11.86,97.84,3.84,998.18
