"year","doy","hour","zen","direct_n","diffuse","par","temp","rh","windspeed","pressure","zen_clean","direct_n_clean","diffuse_clean","par_clean","temp_clean","rh_clean","windspeed_clean","pressure_clean"
2005,1,0,154.359,-0.24,0.05,0,5.34,70.195,4.395,998.545,154.359,-0.24,0.05,0,5.34,70.195,4.395,998.545
2005,1,1,161.481,1.335,-0.01,0.01,3.555,75.235,4.73,999.165,161.481,1.335,-0.01,0.01,3.555,75.235,4.73,999.165
2005,1,2,161.481,1.02,0.08,0.005,2.26,76.66,3.65,999.175,161.481,1.02,0.08,0.005,2.26,76.66,3.65,999.175
2005,1,3,154.359,2.835,-0.055,0.02,1.215,79.925,3.77,999.17,154.359,2.835,-0.055,0.02,1.215,79.925,3.77,999.17
2005,1,4,144.105,2.37,-0.075,0.015,2.095,73.47,4.505,999.455,144.105,2.37,-0.075,0.015,2.095,73.47,4.505,999.455
2005,1,5,132.8695,1.4,-0.005,0.01,2.56,64.815,4.85,999.51,132.8695,1.4,-0.005,0.01,2.56,64.815,4.85,999.51
2005,1,6,121.416,0.0900000000000001,0.075,0.015,1.795,76.5,5.63,999.79,121.416,0.0900000000000001,0.075,0.015,1.795,76.5,5.63,999.79
2005,1,7,110.1075,2.545,-0.075,0.08,1.535,81.065,6.12,999.94,110.1075,2.545,-0.075,0.08,1.535,81.065,6.12,999.94
2005,1,8,99.2085,1.83,-0.095,0.025,1.795,80.235,5.755,1000.25,99.2085,1.83,-0.095,0.025,1.795,80.235,5.755,1000.25
2005,1,9,88.7705,1.63,3.925,1.86,1.915,83.15,5.47,1000.815,88.7705,1.63,3.925,1.86,1.915,83.15,5.47,1000.815
2005,1,10,79.739,1.825,13.445,6.835,1.915,88.17,5.665,1001.015,79.739,1.825,13.445,6.835,1.915,88.17,5.665,1001.015
2005,1,11,72.1045,1.675,43.85,21.135,1.925,93.25,6.415,1001.06,72.1045,1.675,43.85,21.135,1.925,93.25,6.415,1001.06
2005,1,12,66.493,1.515,43.56,21.81,2.385,93.425,5.96,1001.265,66.493,1.515,43.56,21.81,2.385,93.425,5.96,1001.265
2005,1,13,63.4875,1.825,60.03,29.41,2.81,95.095,5.415,1000.56,63.4875,1.825,60.03,29.41,2.81,95.095,5.415,1000.56
2005,1,14,63.471,1.975,65.68,31.9,3.435,97.32,5.13,999.655,63.471,1.975,65.68,31.9,3.435,97.32,5.13,999.655
2005,1,15,66.4445,1.325,81.66,38.515,3.86,98.485,5.575,998.84,66.4445,1.325,81.66,38.515,3.86,98.485,5.575,998.84
2005,1,16,72.032,0.255,25.465,12.63,4.1,99.005,5.195,998.48,72.032,0.255,25.465,12.63,4.1,99.005,5.195,998.48
2005,1,17,79.648,1.3,17.025,8.265,4.34,99.285,5.12,998.35,79.648,1.3,17.025,8.265,4.34,99.285,5.12,998.35
2005,1,18,88.671,0.62,4.555,2.105,4.91,99.47,5.795,997.875,88.671,0.62,4.555,2.105,4.91,99.47,5.795,997.875
2005,1,19,99.092,0.63,-0.035,0.005,5.72,99.64,5.45,997.505,99.092,0.63,-0.035,0.005,5.72,99.64,5.45,997.505
2005,1,20,109.985,0.62,-0.105,0.01,6.78,99.765,4.955,997.59,109.985,0.62,-0.105,0.01,6.78,99.765,4.955,997.59
2005,1,21,121.2875,0.805,-0.165,0.055,8.025,99.9052631578948,4.43,997.425,121.2875,0.805,-0.165,0.055,8.025,99.9052631578948,4.43,997.425
2005,1,22,132.7365,0.135,-0.175,0.075,9.03,100,4.73,997.205,132.7365,0.135,-0.175,0.075,9.03,100,4.73,997.205
2005,1,23,143.9695,0.975,-0.04,0.095,10.56,NA,4.69,997.105,143.9695,0.975,-0.04,0.095,10.56,84.225,4.69,997.105
2005,2,0,154.2225,0.06,-1.38777878078145e-18,0.085,11.215,99.6538461538462,4.455,997.13,154.2225,0.06,-1.38777878078145e-18,0.085,11.215,99.6538461538462,4.455,997.13
2005,2,1,161.366,0.55,-0.015,0.1,11.275,98.555,5.605,996.68,161.366,0.55,-0.015,0.1,11.275,98.555,5.605,996.68
2005,2,2,161.43,0.745,0,0.1,11.46,96.57,6.155,995.865,161.43,0.745,0,0.1,11.46,96.57,6.155,995.865
2005,2,3,154.366,0.905,0.035,0.1,11.97,94.625,5.99,995.565,154.366,0.905,0.035,0.1,11.97,94.625,5.99,995.565
2005,2,4,144.137,0.27,0.01,0.1,12.31,94.34,7.265,995.56,144.137,0.27,0.01,0.1,12.31,94.34,7.265,995.56
2005,2,5,132.908,-0.015,0.02,0.1,12.345,94.87,7.27,995.345,132.908,-0.015,0.02,0.1,12.345,94.87,7.27,995.345
2005,2,6,121.4555,0.195,-0.015,0.09,12.185,96.875,6.19,995.26,121.4555,0.195,-0.015,0.09,12.185,96.875,6.19,995.26
2005,2,7,110.141,0.435,-0.14,0.095,12.18,97.68,6.59,995.26,110.141,0.435,-0.14,0.095,12.18,97.68,6.59,995.26
2005,2,8,99.233,0.29,0.075,0.1,12.315,98.875,5.825,995.795,99.233,0.29,0.075,0.1,12.315,98.875,5.825,995.795
2005,2,9,88.7825,0.415,7.3,3.255,12.675,99.125,5.435,996.135,88.7825,0.415,7.3,3.255,12.675,99.125,5.435,996.135
2005,2,10,79.7355,0.755,36.365,16.86,13.01,99.445,6.185,996.655,79.7355,0.755,36.365,16.86,13.01,99.445,6.185,996.655
2005,2,11,72.0785,1.03,54.885,26.215,13.625,98.985,5.475,997.185,72.0785,1.03,54.885,26.215,13.625,98.985,5.475,997.185
2005,2,12,66.441,0.775,53.28,26.93,14.115,97.35,5.195,997.185,66.441,0.775,53.28,26.93,14.115,97.35,5.195,997.185
2005,2,13,63.408,0.335,73.07,36.41,14.495,96.08,5.295,996.82,63.408,0.335,73.07,36.41,14.495,96.08,5.295,996.82
2005,2,14,63.367,-0.085,52.685,26.24,14.52,96.3,4.47,996.34,63.367,-0.085,52.685,26.24,14.52,96.3,4.47,996.34
2005,2,15,66.3235,-2.72,32.025,16.405,11.295,96.91,4.875,996.46,66.3235,-2.72,32.025,16.405,11.295,96.91,4.875,996.46
2005,2,16,71.9,-0.585,26.8,13.745,8.585,98.565,5.015,997.25,71.9,-0.585,26.8,13.745,8.585,98.565,5.015,997.25
2005,2,17,79.5115,-0.34,20.435,9.885,7.375,99.375,4.565,997.84,79.5115,-0.34,20.435,9.885,7.375,99.375,4.565,997.84
2005,2,18,88.54,0.355,6.285,2.825,6.87,99.545,4.5,998.535,88.54,0.355,6.285,2.825,6.87,99.545,4.5,998.535
2005,2,19,98.9505,0.395,0.025,0.08,6.255,98.945,4.58,998.865,98.9505,0.395,0.025,0.08,6.255,98.945,4.58,998.865
2005,2,20,109.841,0.565,-0.01,0.08,5.835,99.325,3.95,999.28,109.841,0.565,-0.01,0.08,5.835,99.325,3.95,999.28
2005,2,21,121.1465,0.44,-0.04,0.09,5.33,99.215,4.695,999.545,121.1465,0.44,-0.04,0.09,5.33,99.215,4.695,999.545
2005,2,22,132.5965,0.635,-0.005,0.1,4.73,98.375,4.295,999.795,132.5965,0.635,-0.005,0.1,4.73,98.375,4.295,999.795
2005,2,23,143.828,1.76,-0.015,0.085,4.515,98.48,4.295,999.83,143.828,1.76,-0.015,0.085,4.515,98.48,4.295,999.83
2005,3,0,154.0815,0.915,0.04,0.05,4.295,98.14,4.335,999.2,154.0815,0.915,0.04,0.05,4.295,98.14,4.335,999.2
2005,3,1,161.244,0.715,-0.015,0.05,4.545,97.62,3.875,998.445,161.244,0.715,-0.015,0.05,4.545,97.62,3.875,998.445
2005,3,2,161.3725,0.85,-0.03,0,4.245,97.8,3.955,997.94,161.3725,0.85,-0.03,0,4.245,97.8,3.955,997.94
2005,3,3,154.3655,0.785,0.11,0.005,4.445,97.56,2.35,997.62,154.3655,0.785,0.11,0.005,4.445,97.56,2.35,997.62
2005,3,4,144.161,0.895,-0.005,0,4.235,97.995,4.34,997.865,144.161,0.895,-0.005,0,4.235,97.995,4.34,997.865
2005,3,5,132.943,0.895,0.015,0.01,4.19,98.39,4.305,996.98,132.943,0.895,0.015,0.01,4.19,98.39,4.305,996.98
2005,3,6,121.4895,0.955,0.035,0.005,4.8,98.185,4.2,996.06,121.4895,0.955,0.035,0.005,4.8,98.185,4.2,996.06
2005,3,7,110.1695,0.515,-0.085,0.04,4.77,98.03,4.515,995.885,110.1695,0.515,-0.085,0.04,4.77,98.03,4.515,995.885
2005,3,8,99.2535,0.49,-0.09,0.035,4.8,97.645,4.425,995.545,99.2535,0.49,-0.09,0.035,4.8,97.645,4.425,995.545
2005,3,9,88.7895,1.42,3.425,1.7,4.655,97.435,4.885,995.425,88.7895,1.42,3.425,1.7,4.655,97.435,4.885,995.425
2005,3,10,79.7235,1.135,13.145,6.955,4.32,98.3,5.445,995.35,79.7235,1.135,13.145,6.955,4.32,98.3,5.445,995.35
2005,3,11,72.046,0.81,19.57,10.565,4.345,98.685,4.39,995.3,72.046,0.81,19.57,10.565,4.345,98.685,4.39,995.3
2005,3,12,66.382,1.1,37.75,20.17,4.215,97.835,4.835,994.845,66.382,1.1,37.75,20.17,4.215,97.835,4.835,994.845
2005,3,13,63.323,0.75,48.77,25.775,4.17,97.12,5.68,993.6,63.323,0.75,48.77,25.775,4.17,97.12,5.68,993.6
2005,3,14,63.258,0.425,37.765,21.455,4.225,97.29,5.06,992.815,63.258,0.425,37.765,21.455,4.225,97.29,5.06,992.815
2005,3,15,66.196,0.565,28.035,15.35,3.87,96.905,7.4,992.88,66.196,0.565,28.035,15.35,3.87,96.905,7.4,992.88
2005,3,16,71.7625,0.555,17.195,9.5,3.495,95.51,7.96,992.17,71.7625,0.555,17.195,9.5,3.495,95.51,7.96,992.17
2005,3,17,79.3685,1,34.04,16.035,3.36,94.73,7.895,992.46,79.3685,1,34.04,16.035,3.36,94.73,7.895,992.46
2005,3,18,88.403,1.81,7.23,3.325,3.495,94.225,5.83,993.635,88.403,1.81,7.23,3.325,3.495,94.225,5.83,993.635
2005,3,19,98.805,1.62,0.1,0.01,3.41,95.335,5.63,994.36,98.805,1.62,0.1,0.01,3.41,95.335,5.63,994.36
2005,3,20,109.698,1.86,0.1,0,3.295,94.345,5.735,995.135,109.698,1.86,0.1,0,3.295,94.345,5.735,995.135
2005,3,21,121.0035,1.875,0.06,0,3.2,93.95,5.67,995.89,121.0035,1.875,0.06,0,3.2,93.95,5.67,995.89
2005,3,22,132.4525,1.2,0.07,0,2.97,94.41,5.57,996.58,132.4525,1.2,0.07,0,2.97,94.41,5.57,996.58
2005,3,23,143.6805,1.36,0.045,0,2.805,94.93,6.11,997.175,143.6805,1.36,0.045,0,2.805,94.93,6.11,997.175
2005,4,0,153.9355,1.82,0,0,2.8,95.83,5.125,997.475,153.9355,1.82,0,0,2.8,95.83,5.125,997.475
2005,4,1,161.115,1.325,-0.06,0,2.725,97.115,5.155,997.135,161.115,1.325,-0.06,0,2.725,97.115,5.155,997.135
2005,4,2,161.3065,1.605,-0.06,0,2.8,97.32,4.75,997.32,161.3065,1.605,-0.06,0,2.8,97.32,4.75,997.32
2005,4,3,154.358,1.77,-0.04,0,2.8,98.475,4.395,997.59,154.358,1.77,-0.04,0,2.8,98.475,4.395,997.59
2005,4,4,144.1805,1.29,0.035,0,2.8,98.245,3.985,997.915,144.1805,1.29,0.035,0,2.8,98.245,3.985,997.915
2005,4,5,132.971,1.035,0.07,0,2.785,97.55,3.555,997.605,132.971,1.035,0.07,0,2.785,97.55,3.555,997.605
2005,4,6,121.517,1.745,-0.03,0,2.69,97.91,3.85,997.845,121.517,1.745,-0.03,0,2.69,97.91,3.85,997.845
2005,4,7,110.194,1.82,-0.055,0,2.6,98.815,4.005,998.29,110.194,1.82,-0.055,0,2.6,98.815,4.005,998.29
2005,4,8,99.2665,1.21,-0.005,0,2.59,99.085,3.935,998.155,99.2665,1.21,-0.005,0,2.59,99.085,3.935,998.155
2005,4,9,88.79,1.63,3.87,1.885,2.59,99.07,3.845,998.28,88.79,1.63,3.87,1.885,2.59,99.07,3.845,998.28
2005,4,10,79.7065,1.51,13.36,6.67,2.6,99.04,3.9,999.07,79.7065,1.51,13.36,6.67,2.6,99.04,3.9,999.07
2005,4,11,72.006,1.77,30.325,15.005,2.65,99.295,3.99,999.495,72.006,1.77,30.325,15.005,2.65,99.295,3.99,999.495
2005,4,12,66.317,1.505,54.575,26.92,2.9,98.95,4.305,999.36,66.317,1.505,54.575,26.92,2.9,98.95,4.305,999.36
2005,4,13,63.23,1.39,63.41,31.335,3.045,97.715,4.085,998.09,63.23,1.39,63.41,31.335,3.045,97.715,4.085,998.09
2005,4,14,63.1415,1.74,57.465,29.415,3.245,96.135,3.61,997.11,63.1415,1.74,57.465,29.415,3.245,96.135,3.61,997.11
2005,4,15,66.063,1.445,32.69,17.115,3.235,96.055,2.855,996.695,66.063,1.445,32.69,17.115,3.235,96.055,2.855,996.695
2005,4,16,71.6185,2.15,15.16,8.43,3.305,96.54,1.695,996.695,71.6185,2.15,15.16,8.43,3.305,96.54,1.695,996.695
