"year","doy","hour","zen","direct_n","diffuse","par","temp","rh","windspeed","pressure","zen_clean","direct_n_clean","diffuse_clean","par_clean","temp_clean","rh_clean","windspeed_clean","pressure_clean"
2003,1,0,154.4285,1.365,0.085,0.075,0.1,82.365,5.385,987.89,154.4285,1.365,0.085,0.075,0.1,82.365,5.385,987.89
2003,1,1,161.535,1.265,0.045,0.03,0.165,73.34,7.15,986.955,161.535,1.265,0.045,0.03,0.165,73.34,7.15,986.955
2003,1,2,161.504,1.155,0.01,0,0.1,73.885,8.46,986.38,161.504,1.155,0.01,0,0.1,73.885,8.46,986.38
2003,1,3,154.3525,0.845,0.005,0,-0.065,78.435,8.64,986.44,154.3525,0.845,0.005,0,-0.065,78.435,8.64,986.44
2003,1,4,144.087,0.805,0.015,0.03,-0.195,80.37,8.92,986.295,144.087,0.805,0.015,0.03,-0.195,80.37,8.92,986.295
2003,1,5,132.847,0.485,0.02,0.075,-0.59,83.13,9.03,985.84,132.847,0.485,0.02,0.075,-0.59,83.13,9.03,985.84
2003,1,6,121.3945,0.725,0.005,0.095,-0.74,83.185,9.185,985.4,121.3945,0.725,0.005,0.095,-0.74,83.185,9.185,985.4
2003,1,7,110.0885,0.5,0.015,0.07,-1.055,82.525,9,985.395,110.0885,0.5,0.015,0.07,-1.055,82.525,9,985.395
2003,1,8,99.1935,0.42,0.08,0.085,-1.545,83.835,9.445,985.7,99.1935,0.42,0.08,0.085,-1.545,83.835,9.445,985.7
2003,1,9,88.7645,0.795,17.895,7.1,-2.015,81.545,9.32,985.72,88.7645,0.795,17.895,7.1,-2.015,81.545,9.32,985.72
2003,1,10,79.741,258.19,110.25,66.145,-1.66,77.14,9.555,986.24,79.741,258.19,110.25,66.145,-1.66,77.14,9.555,986.24
2003,1,11,72.116,189.515,143.08,85.87,-1.175,75.055,10.495,986.72,72.116,189.515,143.08,85.87,-1.175,75.055,10.495,986.72
2003,1,12,66.5175,763.975,91.725,160.785,-0.185,71.485,10.775,986.5,66.5175,763.975,91.725,160.785,-0.185,71.485,10.775,986.5
2003,1,13,63.5235,919.28,65.165,191.96,0.525,70.045,9.735,986.57,63.5235,919.28,65.165,191.96,0.525,70.045,9.735,986.57
2003,1,14,63.521,824.4,111.64,194.24,1.105,68.375,9.545,985.965,63.521,824.4,111.64,194.24,1.105,68.375,9.545,985.965
2003,1,15,66.5035,886.315,87.74,175.725,1.645,66.69,8.83,986.52,66.5035,886.315,87.74,175.725,1.645,66.69,8.83,986.52
2003,1,16,72.0965,433.955,143.2,112.065,1.58,67.85,9.03,986.81,72.0965,433.955,143.2,112.065,1.58,67.85,9.03,986.81
2003,1,17,79.7155,251.77,91.445,54.845,1.09,71.925,8.705,987.045,79.7155,251.77,91.445,54.845,1.09,71.925,8.705,987.045
2003,1,18,88.7375,40.28,17.13,7.61,-0.1,77.905,8.935,987.435,88.7375,40.28,17.13,7.61,-0.1,77.905,8.935,987.435
