"year","doy","hour","zenith_angle","cosine_zenith_angle","direct_transmittance","diffuse_transmittance","total_transmittance","solar","solar_source","temp","doy_dbl"
2001,1,0,155.008924870059,-0.906373606598004,0,1,0,0,1,-12.1041846373077,1
2001,1,1,162.001535095599,-0.951064795283137,0,1,0,0,1,-13.0604466667438,1.04166666666667
2001,1,2,161.464179417975,-0.94812509511197,0,1,0,0,1,-13.9490036338651,1.08333333333333
2001,1,3,153.863847321858,-0.897749802754071,0,1,0,0,1,-14.737128411683,1.125
2001,1,4,143.452632179819,-0.803364831441548,0,1,0,0,1,-15.3957929686355,1.16666666666667
2001,1,5,132.174711649278,-0.671393558699328,0,1,0,0,1,-15.9007375224059,1.20833333333333
2001,1,6,120.718432950825,-0.510819519446617,0,1,0,0,1,-16.2333640706771,1.25
2001,1,7,109.425125000626,-0.332574716261013,0,1,0,0,1,-16.3814213884993,1.29166666666667
2001,1,8,98.5571128929201,-0.148795196483926,0,1,0,0,1,-16.1881427965729,1.33333333333333
2001,1,9,88.0634603669439,0.0337925578897931,2.81244814169953e-06,0.010137738854993,0.0101378338948096,36.0741024077496,1,-15.2823998006908,1.375
2001,1,10,79.2072460355955,0.187257085990144,0.09960416978941,0.0505816498208734,0.0692332364081058,246.357050837521,1,-13.7912835219746,1.41666666666667
2001,1,11,71.6630182785962,0.314605199853173,0.253373865680637,0.0704677392609436,0.150180474910971,534.396784145042,1,-11.9618949910008,1.45833333333333
2001,1,12,66.1762613854523,0.403924345035351,0.34324720876133,0.0795835323153655,0.218229436299498,776.539753475752,1,-10.0973921826245,1.5
2001,1,13,63.3329561751,0.448805062664295,0.381985195652696,0.0832104518977661,0.254647341569507,906.127913808371,1,-8.50675205058098,1.54166666666667
2001,1,14,63.504237929181,0.446131617337486,0.379788616962077,0.0830087722217483,0.252444482153407,898.28933833053,1,-7.45356826728516,1.58333333333333
2001,1,15,66.6661018794062,0.396088817240858,0.336062672238941,0.0788934452624801,0.212004111628404,754.387782745447,1,-7.11144771532413,1.625
2001,1,16,72.4128964625214,0.30215533347267,0.239438894964157,0.0689422782955344,0.141290017449757,502.761301039347,1,-7.22714276879095,1.66666666666667
2001,1,17,80.1476124300987,0.171110421396379,0.0801218512331003,0.0472202213006477,0.0609299050282015,216.810775998918,1,-7.54641461898444,1.70833333333333
2001,1,18,89.0171697559095,0.0171527825267645,1.15927478840145e-11,0.00514583475796971,0.00514583475816856,18.3107527668776,1,-8.05749465813033,1.75
2001,1,19,99.7372026494776,-0.169129369863924,0,1,0,0,1,-8.74154407999399,1.79166666666667
2001,1,20,110.664552302522,-0.352896036558849,0,1,0,0,1,-9.5733482928748,1.83333333333333
2001,1,21,121.987225378488,-0.529730170933176,0,1,0,0,1,-10.5222463489929,1.875
2001,1,22,133.439266901784,-0.687585297711769,0,1,0,0,1,-11.5532611307806,1.91666666666667
2001,1,23,144.65731281258,-0.815706841208547,0,1,0,0,1,-12.6283886345372,1.95833333333333
2001,2,0,154.87243958933,-0.905364645885789,0,1,0,0,1,-13.7079988274509,2
2001,2,1,161.887451031496,-0.950447664224363,0,1,0,0,1,-14.7522964413144,2.04166666666667
2001,2,2,161.420110143569,-0.947880302587886,0,1,0,0,1,-15.7227878569447,2.08333333333333
2001,2,3,153.87454833785,-0.897832059452041,0,1,0,0,1,-16.5837000088118,2.125
2001,2,4,143.485487016311,-0.803706166605828,0,1,0,0,1,-17.3032990079517,2.16666666666667
2001,2,5,132.214496047369,-0.671907994166931,0,1,0,0,1,-17.855059877701,2.20833333333333
2001,2,6,120.757726813801,-0.511408979550664,0,1,0,0,1,-18.2186442848889,2.25
2001,2,7,109.459214728053,-0.333135767361695,0,1,0,0,1,-18.3806502265564,2.29166666666667
2001,2,8,98.5820836661102,-0.149226152990237,0,1,0,0,1,-18.1749041293076,2.33333333333333
2001,2,9,88.0742792850371,0.0336038393905909,2.61764465916864e-06,0.0100811254283041,0.0100812133912148,48.2394113554573,1,-17.2066301855408,2.375
2001,2,10,79.2018628879323,0.187349376862642,0.099717408230501,0.0506002147704899,0.069282209064832,331.520904577391,1,-15.6113269157403,2.41666666666667
2001,2,11,71.6358629407673,0.315055048610723,0.253871033613365,0.0705215093324428,0.150504860168356,720.177778101973,1,-13.6529287691694,2.45833333333333
2001,2,12,66.1235875802379,0.404765171532941,0.344010506618825,0.0796565099436716,0.218899981664374,1047.45389780281,1,-11.6554423131302,2.5
2001,2,13,63.2535516560387,0.450043086112018,0.382997800333924,0.0833032722226873,0.255668784259081,1223.39555527822,1,-9.94934106802831,2.54166666666667
2001,2,14,63.4008501708348,0.447745820078305,0.381116515779401,0.0831307479525812,0.253774074855615,1214.32921943492,1,-8.81689041941025,2.58333333333333
2001,2,15,66.5447828717724,0.398032165192927,0.337856654217229,0.0790663048770017,0.213544120479923,1021.82567421371,1,-8.44462999646009,2.625
2001,2,16,72.2805219042838,0.304356907196672,0.241927540916271,0.0692173767233097,0.142849694842282,683.547200528809,1,-8.52900310854147,2.66666666666667
2001,2,17,80.0101453620247,0.173473795065177,0.0829251109751389,0.0477265384074356,0.0621118721144939,297.210269509788,1,-8.7639740776325,2.70833333333333
2001,2,18,88.8978917483821,0.0192342315378335,1.76854015314103e-10,0.00577026946032955,0.0057702694637312,27.6112003080239,1,-9.14087431280362,2.75
2001,2,19,99.5957515545616,-0.166695635281623,0,1,0,0,1,-9.64579914330935,2.79166666666667
2001,2,20,110.523426263144,-0.350590324847706,0,1,0,0,1,-10.2601207921832,2.83333333333333
