"year","doy","hour","zenith_angle","cosine_zenith_angle","direct_transmittance","diffuse_transmittance","total_transmittance","solar","solar_source","temp","precip","doy_dbl"
2015,5,18,104.614454505236,-0.252313482638462,0,1,0,0,1,-10.6993271207114,0.275166666666667,5.75
2015,5,19,115.775059387748,-0.434839153169398,0,1,0,0,1,-10.8875505339466,0.275166666666667,5.79166666666667
2015,5,20,127.199296935858,-0.60458934077018,0,1,0,0,1,-11.1025352522328,0.275166666666667,5.83333333333333
2015,5,21,138.590223455301,-0.749998217153325,0,1,0,0,1,-11.3363299418339,0.275166666666667,5.875
2015,5,22,149.446736942829,-0.861156972566503,0,1,0,0,1,-11.5802875713814,0.275166666666667,5.91666666666667
2015,5,23,158.511140137154,-0.930488809987973,0,1,0,0,1,-11.8253852273144,0.275166666666667,5.95833333333333
2015,6,0,162.414120676923,-0.953265158600906,0,1,0,0,1,-12.0625578315389,0,6
2015,6,1,158.11408795294,-0.927927936520661,0,1,0,0,1,-12.2830334185669,0,6.04166666666667
2015,6,2,148.892104819806,-0.856195899785163,0,1,0,0,1,-12.4786575717164,0,6.08333333333333
2015,6,3,137.983133600325,-0.742947818489374,0,1,0,0,1,-12.6421950189136,0,6.125
2015,6,4,126.576134205383,-0.595890420314393,0,1,0,0,1,-12.7675972334007,0,6.16666666666667
2015,6,5,115.152796620168,-0.425033701408606,0,1,0,0,1,-12.8502261419856,0,6.20833333333333
2015,6,6,104.005162814953,-0.24200932614076,0,1,0,0,1,-12.8870256668518,0,6.25
2015,6,7,93.3984016888888,-0.0592785268629209,0,1,0,0,1,-12.8282234494114,0,6.29166666666667
2015,6,8,83.5087035411105,0.113052283483579,0.0219164875439572,0.0331723723562387,0.0356500813190224,113.129583722458,1,-12.5540474187264,0,6.33333333333333
2015,6,9,75.0793704495866,0.257480723644989,0.186844737646898,0.0628115416159223,0.110920459874504,351.987568825279,1,-12.1021374487805,0,6.375
2015,6,10,68.3766224062695,0.368503885697744,0.309720341593911,0.0763112209022265,0.190444370259216,604.343427351864,1,-11.5467381951885,0,6.41666666666667
2015,6,11,64.0240076662754,0.437994502087365,0.373018716047978,0.0823843065847987,0.245764453389501,779.892479260523,1,-10.9790966519401,0,6.45833333333333
2015,6,12,62.5468946979306,0.461022469666457,0.391852463049323,0.0841109038219721,0.264763694081855,840.18339897357,1,-10.4924711087255,0,6.5
2015,6,13,64.1513424445093,0.435995524142292,0.371336011387375,0.0822284055673637,0.24412924448511,774.703416688756,1,-10.1668096708577,0,6.54166666666667
2015,6,14,68.6142849934391,0.364644642006067,0.30590203762776,0.0759297309019097,0.187475269901611,594.921482855294,1,-10.0556079821068,0,6.58333333333333
2015,6,15,75.4021098425048,0.252033723441581,0.18019219614281,0.061985763993778,0.107400274122766,340.816846796454,1,-10.1630780130996,0,6.625
2015,6,16,83.8874359875813,0.106482110568818,0.0173138235984751,0.0313915494270109,0.0332351619057928,105.466239970247,1,-10.472263829079,0,6.66666666666667
2015,6,17,93.8267717434689,-0.0667401209432779,0,1,0,0,1,-10.9717176913006,0,6.70833333333333
2015,6,18,104.460824050012,-0.249717975292235,0,1,0,0,1,-11.6429471042032,0,6.75
2015,6,19,115.623029311522,-0.432448194029924,0,1,0,0,1,-12.4610995080657,0,6.79166666666667
2015,6,20,127.047823592762,-0.602481417847357,0,1,0,0,1,-13.3958824557951,0,6.83333333333333
2015,6,21,138.437470331627,-0.748232125456328,0,1,0,0,1,-14.4126852038988,0,6.875
2015,6,22,149.290519490741,-0.859767782280105,0,1,0,0,1,-15.473860190253,0,6.91666666666667
2015,6,23,158.354750070997,-0.929485465820015,0,1,0,0,1,-16.5401169513951,0,6.95833333333333
2015,7,0,162.294044626324,-0.95262987464396,0,1,0,0,1,-17.5719768689501,0.0211666666666667,7
2015,7,1,158.066409917861,-0.927617427567882,0,1,0,0,1,-18.5312348825738,0.0211666666666667,7.04166666666667
2015,7,2,148.886390043738,-0.85614436386739,0,1,0,0,1,-19.3823740488591,0.0211666666666667,7.08333333333333
2015,7,3,137.993718741105,-0.743071465127519,0,1,0,0,1,-20.0938805715475,0.0211666666666667,7.125
2015,7,4,126.590605489187,-0.596093232867607,0,1,0,0,1,-20.6394106134843,0.0211666666666667,7.16666666666667
2015,7,5,115.1642120217,-0.425214037230723,0,1,0,0,1,-20.9987656885988,0.0211666666666667,7.20833333333333
2015,7,6,104.008562691807,-0.242066900842902,0,1,0,0,1,-21.1586405195989,0.0211666666666667,7.25
2015,7,7,93.3893775840973,-0.0591213027548669,0,1,0,0,1,-20.9390692057522,0.0211666666666667,7.29166666666667
2015,7,8,83.4832462173517,0.113493737948417,0.0222446114929486,0.0332907341522616,0.0358153582598066,143.034832839874,1,-19.913336569081,0.0211666666666667,7.33333333333333
2015,7,9,75.0321615080459,0.25827680680677,0.187813313828802,0.0629306951505808,0.111438518122082,445.049012099461,1,-18.223338372285,0.0211666666666667,7.375
2015,7,10,68.3038630580039,0.369684111452497,0.310881458981928,0.0764268526565122,0.191354788587302,764.208471688255,1,-16.1461094473222,0.0211666666666667,7.41666666666667
2015,7,11,63.9238067704856,0.439565995568688,0.374336115890555,0.0825061704329822,0.247051597891729,986.643320748902,1,-14.0221618534697,0.0211666666666667,7.45833333333333
2015,7,12,62.4213491851043,0.462965791483504,0.393396479437767,0.0842510037041323,0.266380116173862,1063.83510427016,1,-12.1996660597052,0.0211666666666667,7.5
2015,7,13,64.0067156029643,0.438265796682542,0.37324648758714,0.0824053882323611,0.2459865574737,982.389897481276,1,-10.9773767137717,0.0211666666666667,7.54166666666667
2015,7,14,68.4585618206222,0.367174039191915,0.308408331762744,0.0761803518894444,0.189419884783211,756.481098415265,1,-10.5555800182381,0.0211666666666667,7.58333333333333
2015,7,15,75.24214999725,0.254734439226793,0.183496053278575,0.0623975024983636,0.109140266730611,435.870547340896,1,-10.662749887816,0.0211666666666667,7.625
2015,7,16,83.7296080486144,0.109220659253016,0.019167378285846,0.0321381556681451,0.0342316293606771,136.709937338133,1,-10.9739366364535,0.0211666666666667,7.66666666666667
