"year","doy","hour","min","zen","direct_n","qc_direct_n","diffuse","qc_diffuse","par","qc_par","temp","qc_temp","rh","qc_rh","windspeed","qc_windspeed","pressure","qc_pressure"
2026,1,0,0,105.06,0.1,0,0,0,0,0,1.3,0,87.6,0,6.5,0,987.7,0
2026,1,0,1,105.24,0.1,0,0,0,0,0,1.3,0,87.4,0,5.8,0,987.7,0
2026,1,0,2,105.43,0.1,0,0,0,0,0,1.3,0,87.3,0,6,0,987.8,0
2026,1,0,3,105.61,0.1,0,0,0,0,0,1.3,0,87.5,0,6.4,0,987.8,0
2026,1,0,4,105.79,0.1,0,0,0,0,0,1.3,0,87.5,0,6.3,0,987.8,0
2026,1,0,5,105.97,0.1,0,0,0,0,0,1.3,0,87.6,0,6.4,0,987.8,0
2026,1,0,6,106.16,0,0,0,0,0,0,1.3,0,87.7,0,6,0,987.8,0
2026,1,0,7,106.34,0,0,0,0,0,0,1.3,0,87.6,0,6.3,0,987.8,0
2026,1,0,8,106.52,0,0,0,0,0,0,1.3,0,87.3,0,6.5,0,987.8,0
2026,1,0,9,106.71,0,0,0,0,0,0,1.4,0,87.1,0,6.7,0,987.8,0
2026,1,0,10,106.89,0,0,0.1,0,0,0,1.4,0,87.2,0,7.2,0,987.9,0
2026,1,0,11,107.07,0,0,0,0,0,0,1.4,0,87.2,0,6.3,0,987.9,0
2026,1,0,12,107.26,0,0,0,0,0,0,1.4,0,87.2,0,7,0,987.9,0
2026,1,0,13,107.44,0,0,0.1,0,0,0,1.5,0,87.2,0,6.7,0,988,0
2026,1,0,14,107.63,0,0,0,0,0,0,1.5,0,87.2,0,7.8,0,987.9,0
2026,1,0,15,107.81,0,0,0,0,0,0,1.5,0,87,0,7.8,0,987.9,0
2026,1,0,16,108,0,0,0,0,0,0,1.6,0,86.8,0,7,0,988,0
2026,1,0,17,108.18,0,0,0.1,0,0,0,1.6,0,86.6,0,7.1,0,988,0
2026,1,0,18,108.36,0,0,0.1,0,0,0,1.6,0,86.7,0,7.2,0,988,0
2026,1,0,19,108.55,0,0,0.1,0,0,0,1.6,0,86.7,0,7.9,0,988,0
2026,1,0,20,108.73,0,0,0,0,0,0,1.6,0,86.6,0,6.6,0,988,0
